stationid_link,stationid_link/_text,stationid_link/_title,neighborhood_value,city_value,stationtype_value
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYCITYI2,KNYCITYI2,,Harlem Yacht Club,City Island,Vantage Vue
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYACCOR3,KNYACCOR3,,Lyonsville,Accord,other
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYACCOR2,KNYACCOR2,,Kelder's Farm,Accord,Davis Vantage Pro2 Plus (Wireless)
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYACCOR4,KNYACCOR4,,Deer Haven Road,Accord,Netatmo
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYACCOR6,KNYACCOR6,,Stony Kill Road,Accord,Netatmo
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYACCOR5,KNYACCOR5,,"Deer Haven, Accord, NY",Accord,Netatmo Weather Station
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYADAMS5,KNYADAMS5,,Windsong dairy,Adams Center,
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYADAMS7,KNYADAMS7,,U.S. 11,Adams Center,Netatmo
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYADAMS8,KNYADAMS8,,Fuller Road,Adams Center,Netatmo
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYADDIS4,KNYADDIS4,,Never U Mine Farm,Addison,WA1080
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYADDIS6,KNYADDIS6,,Orr Hill,Addison,other
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYADIRO3,KNYADIRO3,,Adirondack,Adirondack,other
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYAFTON6,KNYAFTON6,,Top of Hill Afton,Afton,Davis Vantage Pro2 (Cabled)
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYAFTON5,KNYAFTON5,,N2RLH/AFTON,Afton,AcuRite Pro Weather Center
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYAKRON4,KNYAKRON4,,Utley Road,Akron,Ambient Weather WS-1000 (Wireless)
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYALBAN13,KNYALBAN13,,Colonie,Albany,WS2080
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYALBAN30,KNYALBAN30,,Buckingham,Albany,other
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYALBAN33,KNYALBAN33,,Whitehall,Albany,Ambient Weather WS-1001-WiFi (Wireless)
https://www.wunderground.com/weatherstation/WXDailyHistory.asp?ID=KNYALBAN31,KNYALBAN31,,Melrose,Albany,AcuRite Pro Weather Center
