Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
01/06/2015,13.2,11.8,9.7,12.4,11.1,8.8,96,94,89,1022,1019,51,8,0,0
02/06/2015,12.2,10.5,8.7,10.7,9.4,7.8,95,92,87,1023,1019,35,4,0,0
03/06/2015,20.7,14.6,10.7,11.4,9.4,3.2,93,73,32,1026,1022,36,4,0,0
04/06/2015,17.8,13.9,11.3,9.9,9,8.3,86,72,58,1027,1023,31,5,0,0
05/06/2015,21.8,15.2,12.2,13.4,10.3,8.4,81,72,58,1024,1013,23,3,0,0
06/06/2015,23.8,18.7,14.3,16.8,9.9,-1.7,95,63,21,1020,1011,51,5,0,0
07/06/2015,22.8,17.2,11.2,10.1,5.4,-0.6,59,45,35,1024,1019,47,6,0,0
08/06/2015,24.1,19.8,16.3,18.3,14.3,8.9,89,70,57,1021,1008,59,7,0,0
09/06/2015,29,23,18.7,19.7,16.6,12.2,94,69,40,1010,1004,52,6,0,0
10/06/2015,28.4,22.7,16.3,15.5,13.8,10.2,84,58,38,1013,1009,37,5,0,0
11/06/2015,32.7,27.3,22.2,20,17.6,14.6,68,55,44,1014,1011,51,9,0,0
12/06/2015,30.1,26.4,22.4,20.7,16.9,10.1,70,56,38,1017,1010,45,4,0,0
13/06/2015,28.9,25.9,21.9,20.7,15.6,10.1,70,53,35,1017,1008,47,7,0,0
14/06/2015,30.2,24,18.3,17,14.7,10.1,92,58,35,1020,1016,35,4,0,0
15/06/2015,26.6,19.7,16.7,21.8,18.3,15.7,96,91,74,1018,1013,33,5,0,0
16/06/2015,26.1,20.8,16.8,22.1,17.9,15.2,95,83,64,1016,1009,42,4,0,0
17/06/2015,25.6,21.6,18.2,16.2,14.6,12.5,80,64,47,1022,1014,31,5,0,0
18/06/2015,21.6,18.7,16.9,16.2,14.7,12.4,86,77,65,1021,1014,36,5,0,0
19/06/2015,30.7,23.8,18.6,19.4,17.2,14.5,85,68,45,1016,1011,33,4,0,0
20/06/2015,22.9,18.9,16.7,18.1,14.2,9.2,96,75,52,1020,1013,38,5,0,0
21/06/2015,31.8,24.3,18.7,22.3,20,17.9,96,79,45,1014,1005,43,6,0,0
22/06/2015,31.5,26.2,21.6,19.4,15.9,12.9,75,54,35,1016,1010,45,6,0,0
23/06/2015,32.9,27.8,22.7,22.9,20,15.8,78,63,46,1015,1007,51,8,0,0
24/06/2015,28.6,24,18.8,19.2,12.7,10.1,70,50,34,1018,1011,37,6,0,0
25/06/2015,29.5,23.7,16.3,16.2,11.3,8.8,70,47,31,1020,1014,36,5,0,0
26/06/2015,26.1,22.6,20.2,16,14,11.7,73,58,45,1019,1012,46,4,0,0
27/06/2015,20.6,18.1,14.6,15.4,13.6,10.4,93,75,55,1021,1011,51,6,0,0
28/06/2015,22.4,18.4,15.3,18.1,15.9,14.4,95,85,62,1011,1004,45,6,0,0
29/06/2015,25.3,21.2,17.1,14.7,12.5,11.4,71,58,44,1015,1007,46,8,0,0
30/06/2015,26.8,22.9,17.2,19.9,15.6,12.3,85,64,42,1016,1011,290,6,0,0
01/07/2015,29.4,24.5,19.6,21.1,17.2,13.4,96,66,42,1012,1007,55,8,0,0
02/07/2015,26,22.7,19,17.7,14.9,12.9,78,62,46,1014,1011,176,3,0,0
03/07/2015,27.6,22.1,17.3,16,12.1,8.2,74,54,35,1017,1012,28,4,0,0
04/07/2015,24.1,20.9,18.8,17.2,14.2,10,79,65,50,1017,1014,257,3,0,0
05/07/2015,29.7,23,17.4,18.1,16,13.7,87,66,40,1022,1016,33,4,0,0
06/07/2015,28.3,23.8,19.3,19.9,18.3,16.3,94,72,49,1023,1019,33,4,0,0
07/07/2015,29.9,26.2,23.1,23.7,21.3,18.7,90,75,57,1020,1013,42,6,0,0
08/07/2015,32,26.3,22.9,22.7,20.9,19.4,94,73,49,1015,1013,42,6,0,0
09/07/2015,25.3,21.6,18.5,22,17.8,14.7,95,79,64,1017,1009,21,3,0,0
10/07/2015,28.9,24.1,21,21.8,16.3,13.2,94,64,39,1017,1008,38,5,0,0
11/07/2015,30.8,25.2,18.8,16.3,14.1,8.9,76,52,30,1020,1016,25,3,0,0
12/07/2015,31.7,26.5,20.2,17.8,15.6,12.9,74,52,34,1019,1014,29,4,0,0
13/07/2015,29.4,25.3,21.2,19,16.6,11.8,82,58,43,1015,1009,34,4,0,0
14/07/2015,26.7,23.3,20.2,22.8,19.9,16.9,95,81,59,1010,1001,28,3,0,0
15/07/2015,26.7,24.1,21.8,22.6,19.2,10.3,95,75,46,1012,1001,62,4,0,0
16/07/2015,26.6,21.3,16.4,13.7,9.9,6.8,68,49,32,1019,1012,37,4,0,0
17/07/2015,26.3,22.4,18.2,16.4,14.8,13.1,76,62,46,1021,1016,38,7,0,0
18/07/2015,29.8,24.6,20.8,22.4,19.8,16.2,93,75,61,1018,1011,29,5,0,0
19/07/2015,34.2,29.7,23.3,24.2,21.2,18.4,85,61,40,1012,1007,37,6,0,0
20/07/2015,34.5,30.6,26.5,22.7,20.6,18.6,72,56,42,1008,1004,37,6,0,0
21/07/2015,31.8,27.6,22.8,20.7,18,13.5,78,56,35,1006,1001,36,5,0,0
22/07/2015,28.5,24,19.8,17.2,10.9,8.3,72,45,29,1013,1004,45,7,0,0
23/07/2015,28.2,23.6,17.7,12.2,10.2,7.5,65,43,30,1014,1012,36,5,0,0
24/07/2015,29.2,23.7,18.1,14.6,10.7,7.2,66,43,28,1015,1012,23,4,0,0
