Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
01/06/2015,28.8,27.7,26.9,16.9,15.7,14.6,49,47,46,1011,1008,0,0,0,0
02/06/2015,26.9,25.6,24.6,14.8,13.2,11.7,47,45,44,1012,1008,0,0,0,0
03/06/2015,24.6,23.8,23.5,11.9,11.6,11.1,47,45,44,1014,1011,0,0,0,0
04/06/2015,23.7,23.3,23,11.6,11.2,10.9,47,46,46,1015,1013,0,0,0,0
05/06/2015,23.4,23.2,23,12,11.4,10.9,49,47,46,1013,1003,0,0,0,0
06/06/2015,24.7,23.8,23.3,14.2,13.2,11.8,55,51,48,1009,1001,0,0,0,0
07/06/2015,25,24.6,24.2,14.2,13.2,12.4,51,48,47,1013,1009,0,0,0,0
08/06/2015,25.4,24.7,24.4,15.8,13.8,13.2,55,50,49,1010,998,0,0,0,0
09/06/2015,26.7,25.9,25.4,17.3,16.2,15.3,58,55,50,999,993,0,0,0,0
10/06/2015,27.4,26.8,26.4,17.3,16.3,15.7,56,52,51,1003,999,0,0,0,0
11/06/2015,28.6,27.8,27.3,19.1,17.7,16.8,56,53,52,1003,1000,0,0,0,0
12/06/2015,29.4,28.9,28.6,19.9,19.1,18.6,57,54,52,1005,999,0,0,0,0
13/06/2015,30.2,29.7,29.3,20,19.1,18.4,56,52,49,1006,998,0,0,0,0
14/06/2015,30.9,30.3,29.9,19.7,19.3,18.8,52,51,50,1008,1006,0,0,0,0
15/06/2015,30.7,30,29.8,19.7,19.1,18.8,52,51,50,1007,1002,0,0,0,0
16/06/2015,29.9,29.1,28.9,19.4,18.4,17.3,56,52,48,1004,999,0,0,0,0
17/06/2015,29.1,28.6,28.1,18.8,17.9,16.9,54,52,50,1010,1004,0,0,0,0
18/06/2015,28.2,27.6,27.2,17.3,16.7,16.4,52,51,50,1010,1004,0,0,0,0
19/06/2015,27.8,27.4,27.1,18.1,17.6,16.6,56,54,52,1006,1001,0,0,0,0
20/06/2015,28.2,27.8,27.7,20.8,18,17.4,64,55,53,1008,1003,0,0,0,0
21/06/2015,29.3,28.4,27.8,20.1,19,17.8,58,56,54,1002,995,0,0,0,0
22/06/2015,29.4,29,28.6,20,18.8,17.9,57,54,51,1005,1000,0,0,0,0
23/06/2015,30,29.7,29.3,21.1,19.8,18.7,58,55,52,1004,996,0,0,0,0
24/06/2015,30.1,29.9,29.6,20.8,20.2,19.5,57,55,54,1005,1001,0,0,0,0
26/06/2015,28.9,28.7,28.5,17.4,17.2,17.1,50,49,49,1008,1003,0,0,0,0
27/06/2015,28.6,28.3,28,17.8,16.8,16.1,52,49,48,1010,1000,0,0,0,0
28/06/2015,27.9,27.4,27.1,16.6,16.3,15.8,51,50,48,1000,994,0,0,0,0
29/06/2015,27.2,26.7,26.5,16.4,15.4,15.1,53,49,48,1004,997,0,0,0,0
30/06/2015,27.3,27,26.7,16.6,16.1,15.3,52,51,49,1005,1001,0,0,0,0
01/07/2015,28.3,27.8,27.4,17.9,17.4,16.9,55,53,50,1001,997,0,0,0,0
02/07/2015,28.4,28.2,28.1,17.8,17.3,16.6,52,51,49,1003,1001,0,0,0,0
03/07/2015,28.4,28.1,27.9,17.3,16.4,15.8,51,49,46,1005,1002,0,0,0,0
04/07/2015,28.9,28.3,28.2,17.3,16.9,16.7,50,49,49,1006,1003,0,0,0,0
05/07/2015,29.2,28.8,28.4,17.9,17.5,17.2,51,50,49,1010,1006,0,0,0,0
06/07/2015,29.2,28.8,28.6,17.9,17.8,17.6,51,51,50,1011,1010,0,0,0,0
08/07/2015,29.8,29.5,29.4,20.3,18.9,18.4,56,52,51,1002,1001,0,0,0,0
09/07/2015,29.6,29.3,29.2,19.1,18.6,18.2,53,52,51,1004,997,0,0,0,0
10/07/2015,29.5,29.2,29,19.8,18.6,17.4,56,52,49,1004,996,0,0,0,0
11/07/2015,29.6,29.2,28.9,18.2,17.8,17.4,51,50,48,1007,1004,0,0,0,0
12/07/2015,29.5,29.4,29.3,18.3,17.7,17.2,51,49,47,1006,1002,0,0,0,0
13/07/2015,29.6,29.3,29,18.6,17.7,17.1,51,49,48,1002,997,0,0,0,0
14/07/2015,29.2,28.9,28.8,17.9,17.6,17.1,51,50,48,997,988,0,0,0,0
15/07/2015,29.3,29.1,28.9,18.9,18.6,17.7,53,52,50,999,989,0,0,0,0
16/07/2015,29.3,28.8,28.3,18.3,17.2,16.4,51,49,47,1006,999,0,0,0,0
17/07/2015,28.4,28.1,27.9,17.2,16.7,16.1,51,49,48,1008,1004,0,0,0,0
18/07/2015,28.9,28.4,28.2,19.4,18.3,17,56,54,50,1005,999,0,0,0,0
19/07/2015,31.1,29.9,28.9,22,20.7,19.4,59,57,53,1000,994,0,0,0,0
20/07/2015,30.6,30.2,29.9,21.4,19.8,18.6,58,53,49,995,992,0,0,0,0
