Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
01/06/2015,26.2,25.4,23.8,15.2,13.7,11.6,50,48,45,1024,1021,0,0,0,0
02/06/2015,25.9,25.1,24.5,14.8,12.7,11.7,50,46,44,1025,1021,0,0,0,0
03/06/2015,25.6,25,24.5,13.2,12.6,11.7,47,45,43,1027,1024,0,0,0,0
04/06/2015,25.3,24.8,24.4,12.7,11.8,11.4,45,44,43,1028,1025,0,0,0,0
05/06/2015,25.6,24.8,24.2,13.6,12.2,11.4,47,45,44,1025,1016,0,0,0,0
06/06/2015,25.5,25.1,24.4,14.7,13.1,10.6,52,47,40,1022,1013,0,0,0,0
07/06/2015,25.1,24.6,24,11.5,10.1,8.3,42,39,36,1026,1021,0,0,0,0
08/06/2015,26.3,24.9,23.8,16.4,13.1,10.1,54,47,40,1023,1011,0,0,0,0
09/06/2015,26.6,25.4,24.7,17.2,15.8,14.4,59,54,50,1012,1006,0,0,0,0
10/06/2015,26.4,25.3,24.7,15.7,14.4,13.8,52,50,49,1015,1011,0,0,0,0
11/06/2015,26,24.9,24.5,16.1,14.9,14.3,56,53,51,1016,1013,0,0,0,0
12/06/2015,26.1,25.7,25.4,16.3,15.6,14.2,55,53,49,1019,1012,0,0,0,0
13/06/2015,26.1,25.3,24.8,16.1,14.5,11.2,55,51,42,1020,1011,0,0,0,0
14/06/2015,26.2,25.6,24.8,14.3,13.4,11.2,48,46,42,1021,1019,0,0,0,0
15/06/2015,26.3,25.4,24.5,14.8,13.9,12.3,51,48,45,1020,1015,0,0,0,0
16/06/2015,26.1,25.3,24.4,14.7,13.8,12.4,50,48,46,1018,1012,0,0,0,0
17/06/2015,26,24.9,23.9,15.3,13.5,12.4,51,48,47,1023,1017,0,0,0,0
18/06/2015,25.9,25.4,24.5,16.3,14.9,13.8,55,51,49,1023,1017,0,0,0,0
19/06/2015,25.5,24.8,24.4,15.9,14.8,13.7,56,53,49,1019,1014,0,0,0,0
20/06/2015,25.6,24.7,24.2,15.3,14.5,14,54,53,52,1022,1016,0,0,0,0
21/06/2015,25.5,25.2,24.5,16.4,15.8,15.1,57,55,53,1015,1008,0,0,0,0
22/06/2015,26.4,24.8,24.1,16.8,15.1,13.7,56,54,50,1019,1013,0,0,0,0
23/06/2015,25.9,25.3,24.4,16.5,15.6,14.3,58,54,51,1017,1010,0,0,0,0
24/06/2015,26.5,25.5,24.3,15.7,14.7,13.2,55,51,46,1020,1013,0,0,0,0
25/06/2015,25.7,24.8,23.4,14.7,12.2,8.9,52,45,39,1022,1017,0,0,0,0
26/06/2015,24.8,24.6,24.3,14.2,13.6,13.1,51,50,48,1021,1015,0,0,0,0
27/06/2015,24.3,24.2,24.1,13.7,13.2,12.6,51,50,48,1023,1013,0,0,0,0
28/06/2015,25.6,24.2,23.9,15.7,13.6,12.5,55,51,48,1013,1007,0,0,0,0
29/06/2015,25.6,24.7,24.1,15.4,14.2,12.9,55,51,49,1017,1010,0,0,0,0
30/06/2015,25.6,24.9,24.6,15.4,14.6,13.8,56,52,50,1018,1014,0,0,0,0
01/07/2015,24.9,24.7,24.5,16.1,15.6,15.1,58,56,54,1014,1010,0,0,0,0
02/07/2015,26.2,25,24.8,16.3,15.2,14.6,56,54,52,1016,1014,0,0,0,0
03/07/2015,26.2,25.6,25.1,16.3,14.4,13.1,54,50,46,1019,1014,0,0,0,0
04/07/2015,26.2,25.3,24.5,15,14.1,12.9,52,49,46,1019,1016,0,0,0,0
05/07/2015,26.2,25.4,24.4,17.1,14.4,13.3,57,50,47,1024,1019,0,0,0,0
06/07/2015,25.9,25.3,24.8,16.9,16.2,15.3,59,56,54,1025,1022,0,0,0,0
07/07/2015,25.6,24.9,24.3,16.8,15.1,12.6,59,54,47,1022,1016,0,0,0,0
08/07/2015,26.2,25.2,24.7,16.5,15.3,13.6,58,54,48,1017,1016,0,0,0,0
09/07/2015,25.4,25,24.8,15.3,14.7,13.7,54,52,49,1019,1012,0,0,0,0
10/07/2015,25.5,24.9,24.6,15.2,14.7,14.2,54,53,50,1019,1011,0,0,0,0
