Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
01/06/2015,15.7,13.6,10.7,14.7,12.8,9.7,96,95,93,1022,1017,31,5,31,2.72
02/06/2015,12.4,11.2,9.9,11.5,10.2,9,96,94,91,1023,1019,27,5,32,1.19
03/06/2015,21.1,14.7,11.1,12.7,10.7,9.6,93,78,53,1025,1022,27,4,27,0.03
04/06/2015,18.7,14.7,12.3,12,10.1,8.7,86,74,60,1027,1022,24,4,24,0
05/06/2015,21.6,15.7,13.3,15.2,12.2,9.5,92,80,64,1024,1014,21,3,23,0.05
06/06/2015,24.3,19.4,15.6,17.5,11.4,1.3,96,66,26,1017,1011,32,4,34,2.36
07/06/2015,22.5,17.7,12.6,12.5,9.2,3.7,84,59,40,1022,1017,34,4,34,0
08/06/2015,23.9,19.8,16.2,19.2,15.8,12.5,91,78,66,1021,1011,39,6,40,0.1
09/06/2015,29.5,23,18.2,20.5,17.4,12.8,95,74,41,1012,1007,31,4,31,0.08
10/06/2015,27.5,23.5,18.2,17.1,15.2,12.7,80,60,44,1014,1010,29,4,29,0
11/06/2015,33.3,27.4,21.3,21.2,18.9,16.2,77,61,46,1015,1011,29,5,31,0
12/06/2015,30.4,27.3,23.9,22.9,19.6,16,73,63,43,1015,1007,32,4,32,0
13/06/2015,29.9,26.8,21.6,22.1,16.9,10.1,77,56,30,1015,1007,29,4,32,0
14/06/2015,30.2,24.7,19.1,18,16.5,13.5,92,62,38,1017,1014,27,4,27,0.86
15/06/2015,27.8,20.8,18.2,23.4,19.2,16.5,96,91,76,1016,1011,24,4,26,2.9
16/06/2015,24.9,21.1,18.2,22.3,18.5,16.4,94,86,66,1015,1010,19,3,21,0.41
17/06/2015,26.3,22.3,18.8,17,15.8,13.7,84,68,47,1020,1014,26,4,26,0
18/06/2015,21.1,18.9,17.8,17.1,15.8,13.8,89,82,71,1020,1014,23,4,24,0
19/06/2015,31.1,24.6,19.1,20.6,18.2,16,90,70,44,1015,1011,29,3,29,0
20/06/2015,24.6,20.7,18.8,20.7,16.7,12.6,96,79,59,1018,1013,24,4,27,0.15
21/06/2015,31.8,25.3,21.1,23.1,21.2,19.4,97,81,49,1013,1006,32,4,32,1.02
22/06/2015,31.9,27.4,22.7,20.9,17.3,14.3,75,56,38,1014,1010,24,4,31,0
23/06/2015,32.7,27.9,24.5,24.6,21.6,16.7,91,70,51,1013,1005,42,5,42,0.99
24/06/2015,29.6,25.4,20.2,21.1,14,11,78,51,37,1014,1010,23,4,26,0
