Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
01/06/2015,17.1,14.2,11.2,16.2,13.5,10.6,97,96,92,1020,1017,10,0,16,1.73
02/06/2015,12.6,11.2,9.7,11.7,10.4,9.1,96,95,93,1021,1017,10,0,11,1.27
03/06/2015,19.1,14.2,10.9,13.2,11.2,10.1,97,83,64,1024,1021,11,1,13,0.03
04/06/2015,18.6,14.2,12.4,11.9,10.4,9.3,88,79,60,1025,1022,13,1,14,0
05/06/2015,19.3,15.1,12.6,14,12.1,9.7,95,83,71,1022,1012,8,0,8,0.08
06/06/2015,26.3,18.9,13.7,18.3,12.9,1.5,97,75,21,1018,1010,19,1,19,1.09
07/06/2015,21.2,16.8,9.6,13.3,11.2,8.7,96,72,53,1022,1018,16,1,16,0
08/06/2015,28.4,21.3,15.8,20.6,16.4,12.6,94,74,58,1019,1007,24,2,24,0.41
09/06/2015,29.4,23.4,19.3,20.9,17.7,14,96,74,43,1008,1003,31,2,31,0.08
10/06/2015,29.2,22.7,15.3,17.3,15.6,13.8,92,66,41,1012,1008,13,1,18,0
11/06/2015,34,27,19.8,21.8,19.3,16.1,84,64,46,1013,1009,18,2,23,0
12/06/2015,30.7,26.4,22.2,22.6,20.2,15.8,87,69,51,1014,1009,11,1,14,0
13/06/2015,31.7,26.4,20.8,22.3,16.7,7.8,81,58,26,1015,1008,18,2,27,0
14/06/2015,28.9,23.6,18.3,19.3,17.5,15.4,94,70,54,1018,1015,21,1,21,1.02
15/06/2015,29.2,21.9,18.4,24.4,20.2,16.9,97,90,72,1016,1011,10,0,11,1.73
16/06/2015,23.7,20.6,18.4,22.1,18.8,16.9,95,89,80,1014,1008,8,0,8,1.47
17/06/2015,26.7,21.7,18.3,17.7,16.3,14.5,89,73,49,1020,1013,16,1,16,0
18/06/2015,19.9,18.3,17.3,17.7,16.6,15.2,94,90,83,1019,1013,10,1,11,0.08
19/06/2015,30.5,24,18.7,21.6,18.9,17.4,95,75,49,1015,1010,11,1,14,0.05
20/06/2015,22.7,20.4,19.3,19.6,17.2,13.7,96,82,64,1017,1011,6,0,11,0
21/06/2015,31.6,25.7,20.2,23.4,21,19.5,97,78,52,1011,1005,23,2,32,0.81
22/06/2015,31.6,26.7,21.3,20.6,17.9,15.6,80,60,41,1015,1009,18,2,19,0
23/06/2015,33.2,27.5,22.7,24.1,21.7,18,84,71,54,1013,1006,26,3,26,0.03
24/06/2015,29.5,24.6,18.9,19.9,14.6,11.2,86,56,37,1016,1010,18,2,18,0
25/06/2015,27.3,22.5,15.9,17.3,13.2,8.3,81,57,32,1018,1014,13,1,14,0
26/06/2015,27.7,22.5,19.3,19.3,17.1,15.5,85,72,49,1017,1012,10,1,11,0
27/06/2015,20.9,18.6,15.4,17.4,15.6,13.8,96,83,68,1019,1009,18,1,18,2.77
28/06/2015,23.8,19.8,16.3,18.5,16.7,15.2,96,83,63,1009,1003,14,2,16,1.19
29/06/2015,26.2,21.2,16.2,16.2,14.2,12.9,82,65,48,1013,1006,21,3,21,0
30/06/2015,27.7,22.3,16.2,21.1,17.9,14.5,94,77,51,1014,1009,18,1,19,0.05
01/07/2015,29.1,24.1,19.7,21.3,18.7,15.9,96,74,49,1010,1006,26,2,32,0.71
02/07/2015,26.4,21.7,16.9,18.6,16.8,15.3,93,75,52,1012,1010,11,0,11,0
03/07/2015,27.9,22.2,16.9,18,15.1,11.3,94,67,40,1015,1011,14,1,19,0
04/07/2015,26.2,21.5,19.4,18.6,15.8,9.5,91,72,42,1015,1012,10,0,10,0.13
05/07/2015,29,23.3,19.6,20.2,17.8,14.8,86,72,49,1020,1015,14,1,14,0
06/07/2015,27.2,23.2,19.1,21.6,19.9,17.9,95,82,68,1021,1017,11,1,14,0
07/07/2015,32.2,26.3,22.1,24.2,22.2,20.5,96,79,55,1017,1012,18,1,26,0
08/07/2015,31.3,26.1,23.1,24.5,22.2,20.9,94,79,58,1014,1012,16,1,18,0.15
09/07/2015,26,22.8,20.5,22.1,19.7,17.2,96,83,70,1015,1008,14,0,14,0.56
10/07/2015,30.2,25,20.8,21.9,17.1,13.8,96,65,39,1015,1008,23,2,24,0
11/07/2015,29.3,24.8,19.7,18.1,15.8,13.1,76,59,39,1018,1015,13,1,13,0
